Age group?,Gender?,Occupation,Monthly household income?,How comfortable are you in adopting new technologies?,"How do you typically plan your day for activities like commuting, vehicle charging, and other tasks?",How far do you typically travel in a single trip on your bike?,How do you primarily envision using a bike in your daily life?,What type of vehicle do you currently own or primarily use?,How Satisfied are you with your current vehicle's performance?,What do you like most about your current vehicle? (Select up to 3),How often do you use your vehicle?,"On average, how much do you spend on fuel/charging per month?",How much do you spend on maintenance/repairs for your vehicle annually?,Would you consider replacing your current vehicle in the next 1-2 years?,"If yes, what factors would influence your decision to replace your vehicle? (Select all that apply)",How familiar are you with EV bikes? ,Have you ever considered purchasing or using an EV bike?,Where do you primarily get your information about EV bikes? (Select all that apply),Which of the following best describes your experience with electric bikes?,"If you have an Electric Bike, what brand and model of bike do you own? (Optional)",How important are following features in an EV bike to you? [Battery life/range],How important are following features in an EV bike to you? [Charging time],"How important are following features in an EV bike to you? [Safety features (e.g., ABS, traction control)]",How important are following features in an EV bike to you? [Price],How important are following features in an EV bike to you? [Design and aesthetics],"How important are following features in an EV bike to you? [Connectivity features (e.g., smart dashboard, app integration)]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Long range and fewer charges]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Durability]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Smooth and quiet ride]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [High performance (e.g., speed, acceleration)]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Comfort]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Maintenance cost]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Brand]",What are two words that comes to mind when you think of EV bikes in general?,What are two words that comes to mind when you think of HONDA in general?,What are two words that comes to mind when you think of Yamaha in general?,What is two word that comes to mind when you think of Suzuki in general?
1,1,1,3,5,1,1,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town;Long-distance travel,1,1,Fuel efficiency;Maintenance cost;Comfort and design,1,2,1,3,"Better performance;Newer technology;Brand reputation;Incentives (rebates, subsidies, etc.)",1,2,Social media,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,No fuel ,Comfort ,Comfort ,Moderate 
1,0,1,3,5,2,3,Commuting to work or school;Leisure and entertainment;Running errands around town;Long-distance travel,2,2,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;After Sale Service;Resale Value",1,1,1,1,Better performance,1,3,Online news articles;Social media;Friends/Family;Auto or bike dealerships,3,,5,5,1,5,5,5,5,5,5,5,5,5,5,Kaam chalao,"Civic, Sexy","Sports, R3","GS150, Sleek"
2,0,2,4,5,3,1,Leisure and entertainment,1,2,Maintenance cost;Comfort and design;Reliability,1,3,2,1,Lower running costs;Better performance;Newer technology,1,1,Social media,1,,5,5,3,4,3,2,5,4,4,3,5,4,2,Environment Friendly ,"Design, Power ","Sporty, Reliable ",Old school
2,1,3,5,5,2,3,Leisure and entertainment,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Comfort and design;Reliability;Brand reputation",1,4,3,3,Brand reputation,1,5,Friends/Family,1,,5,5,3,2,5,3,2,3,5,5,5,5,5,Comfortably smooth,Monopolistic ,Good bikes,Bad designer 
2,1,3,3,5,2,3,Long-distance travel,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Comfort and design;Reliability",1,2,2,3,Test Drive,2,2,Social media,1,,2,4,4,4,4,5,2,5,5,4,4,5,1,Easy to drive ,Long-term Investment ,Question on its reliability ,Best seller 
1,0,1,5,4,4,1,Running errands around town,1,2,"Fuel efficiency;Performance (acceleration, handling, etc.);Environmental impact;Resale Value",1,2,1,1,Lower running costs;Better performance;Environmental benefits,2,3,Social media;Friends/Family,1,,5,4,4,5,3,2,5,5,3,5,4,3,3,Fuel saving,cd70,YBR,GS150
2,1,1,5,5,2,1,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town,1,2,"Performance (acceleration, handling, etc.);Comfort and design;Reliability;Resale Value",4,2,1,3,Lower running costs;Newer technology,2,2,Social media;Friends/Family,1,,5,5,5,5,4,4,5,5,4,4,5,4,3,"Environment, Expensive","Known, Versatile","Bikes, Known","Reliable, Old School"
2,0,1,5,5,3,1,Running errands around town,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation;Resale Value",1,5,1,1,Lower running costs;Environmental benefits,1,1,Online news articles;Social media,1,,5,5,5,5,5,5,3,3,3,3,3,3,3,"Fad, useless","Reliable, civic","Bike, japan",Low quality 
2,0,1,5,5,2,1,Leisure and entertainment,1,1,"Performance (acceleration, handling, etc.);Comfort and design;Reliability;Brand reputation;Resale Value",1,3,4,1,Lower running costs;Better performance;Newer technology;Brand reputation,2,3,Social media;TV/Radio;Friends/Family,3,,5,5,5,5,4,5,5,5,5,5,5,5,5,Evee,Civic and city ,YBR,Hayabusa 
1,1,2,1,4,2,1,Commuting to work or school,4,3,"Performance (acceleration, handling, etc.)",4,1,1,1,Lower running costs;Better performance;Environmental benefits;Newer technology;Brand reputation,1,3,Online news articles;Social media;TV/Radio;Friends/Family,3,,3,3,3,4,4,4,4,4,4,5,5,5,5,environmental friendly ,fuel savings.,cost savings. ,economy
1,0,1,5,4,4,1,Leisure and entertainment,2,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Comfort and design",2,1,1,1,Better performance;Newer technology;design of a sportsbike,2,2,Social media;Friends/Family,1,,5,5,5,5,5,3,5,5,5,5,5,5,5,Microwave. Affordable,Reliability. Fireblade,"Design, Relaibility",ugly but quick
1,1,1,5,3,2,1,Leisure and entertainment,1,1,Fuel efficiency;Comfort and design;Reliability;Environmental impact,4,3,2,1,Lower running costs;Better performance;Newer technology,2,3,Friends/Family,6,,5,5,5,5,5,5,5,5,5,5,5,5,2,electric technology ,good brand,good brand,widespread okay 
1,0,1,3,3,2,1,Commuting to work or school;Leisure and entertainment;Running errands around town,4,2,Maintenance cost;Reliability,2,1,1,2,Lower running costs;Better performance,1,1,Social media;Friends/Family;Auto or bike dealerships,1,,5,5,3,4,2,5,5,5,5,5,5,5,4,Fuel better,Cheap,Decent bikes,Boss mehran
